# scope	length	count
global	1	3572
global	2	1807
global	3	1705
global	4	1735
global	5	1712
global	6	1691
global	7	1846
global	8	1777
global	9	1706
global	10	1998
global	11	68
global	12	1949
global	13	7221
global	14	18245
global	15	33872
global	16	65063
global	17	51808
global	18	28567
global	19	15769
global	20	12020
global	21	9751
global	22	8921
global	23	7283
global	24	7270
global	25	7557
global	26	6398
global	27	6235
global	28	5818
global	29	5207
global	30	5071
global	31	5051
global	32	5105
global	33	4806
global	34	4203
global	35	3577
global	36	3855
global	37	3050
global	38	3302
global	39	2872
global	40	2690
global	41	3199
global	42	2303
global	43	2209
global	44	2511
global	45	2070
global	46	1898
global	47	1545
global	48	1565
global	49	2065
global	50	1269
global	51	1527
global	52	1382
global	53	1282
global	54	1472
global	55	1074
global	56	1241
global	57	773
global	58	1019
global	59	711
global	60	687
global	61	932
global	62	676
global	63	625
global	64	595
global	65	860
global	66	943
global	67	550
global	68	493
global	69	376
global	70	344
global	71	412
global	72	1306
global	73	327
global	74	295
global	75	388
global	76	265
global	77	232
global	78	447
global	79	286
global	80	222
global	81	260
global	82	245
global	83	203
global	84	260
global	85	260
global	86	225
global	87	183
global	88	119
global	89	140
global	90	205
global	91	611
global	92	803
global	93	269
global	94	167
global	95	89
global	96	141
global	97	196
global	98	103
global	99	76
global	100	94
global	101	103
global	102	74
global	103	60
global	104	51
global	105	64
global	106	121
global	107	91
global	108	180
global	109	51
global	110	46
global	111	49
global	112	66
global	113	92
global	114	39
global	115	65
global	116	49
global	117	25
global	118	53
global	119	79
global	120	35
global	121	43
global	122	66
global	123	79
global	124	105
global	125	21
global	126	11
global	127	15
global	128	12
global	129	23
global	130	36
global	131	39
local	6	12771
local	7	211752
local	8	410737
local	9	462185
local	10	69982
local	11	29311
local	12	16070
local	13	10913
local	14	8641
local	15	6631
local	16	6417
local	17	5567
local	18	4681
local	19	4486
local	20	3811
local	21	3122
local	22	3242
local	23	3192
local	24	2770
local	25	2739
local	26	2616
local	27	1767
local	28	1758
local	29	1177
local	30	967
local	31	789
local	32	1310
local	33	567
local	34	461
local	35	478
local	36	362
local	37	318
local	38	304
local	39	259
local	40	275
local	41	273
local	42	235
local	43	161
local	44	158
local	45	129
local	46	136
local	47	141
local	48	128
local	49	108
local	50	90
local	51	111
local	52	87
local	53	86
local	54	71
local	55	78
local	56	65
local	57	51
local	58	69
local	59	82
local	60	68
local	61	63
local	62	63
local	63	56
local	64	65
local	65	79
local	66	83
local	67	80
local	68	83
local	69	41
local	70	20
local	71	15
local	72	19
local	73	19
local	74	16
local	75	13
local	76	7
local	77	19
local	78	6
local	79	5
local	80	29
local	81	9
local	82	6
local	83	18
local	84	12
local	85	8
local	86	15
local	87	29
local	88	18
local	89	11
local	90	12
local	91	10
local	92	3
local	93	3
local	94	14
local	95	1
local	96	1
local	97	6
local	98	3
local	100	5
local	101	10
local	102	3
local	103	7
local	106	1
local	107	5
local	108	1
local	109	3
local	110	1
local	111	3
local	113	3
local	116	1
local	117	2
local	118	3
local	119	1
local	122	3
local	123	1
local	124	2
local	126	1
local	127	1
local	129	1
local	130	1
