# scope	length	count
global	1	3639
global	2	1909
global	3	1763
global	4	1928
global	5	1898
global	6	1966
global	7	2142
global	8	1986
global	9	2118
global	10	2082
global	11	47
global	12	1130
global	13	4451
global	14	16185
global	15	20164
global	16	42143
global	17	29374
global	18	17066
global	19	9594
global	20	6810
global	21	5657
global	22	5189
global	23	4982
global	24	4810
global	25	4665
global	26	4061
global	27	4099
global	28	3653
global	29	3615
global	30	3315
global	31	3304
global	32	3118
global	33	3534
global	34	2950
global	35	2679
global	36	2627
global	37	2514
global	38	2433
global	39	2254
global	40	2253
global	41	1951
global	42	1822
global	43	1927
global	44	1941
global	45	1496
global	46	1392
global	47	1314
global	48	1159
global	49	1231
global	50	1219
global	51	1046
global	52	1070
global	53	903
global	54	832
global	55	826
global	56	788
global	57	737
global	58	528
global	59	444
global	60	478
global	61	519
global	62	536
global	63	355
global	64	340
global	65	295
global	66	238
global	67	249
global	68	184
global	69	143
global	70	122
global	71	127
global	72	172
global	73	49
global	74	53
global	75	64
global	76	37
global	77	31
global	78	33
global	79	19
global	80	23
global	81	16
global	82	11
global	83	34
global	84	10
global	85	7
global	86	1
local	6	10149
local	7	169972
local	8	311897
local	9	329499
local	10	39620
local	11	19202
local	12	12620
local	13	9256
local	14	8000
local	15	6438
local	16	5962
local	17	5255
local	18	4320
local	19	3434
local	20	3155
local	21	2838
local	22	2507
local	23	2273
local	24	2059
local	25	1747
local	26	1423
local	27	1305
local	28	1127
local	29	868
local	30	773
local	31	618
local	32	496
local	33	479
local	34	331
local	35	297
local	36	212
local	37	187
local	38	162
local	39	144
local	40	144
local	41	118
local	42	89
local	43	77
local	44	55
local	45	58
local	46	48
local	47	26
local	48	34
local	49	22
local	50	14
local	51	24
local	52	22
local	53	16
local	54	10
local	55	11
local	56	8
local	57	8
local	58	11
local	59	2
local	60	3
local	61	3
local	62	9
local	63	8
local	64	7
local	65	8
local	66	6
local	67	8
local	68	6
local	69	1
local	70	2
